ref	wgt	uk2
10000	10011	0,22
10000	9997	0,22
10000	9994	0,22
10000	10006	0,22
10000	10002	0,22
10000	9998	0,22
10000	9990	0,22
10000	10001	0,22
10000	9988	0,22
10000	9995	0,22
10000	10004	0,22
10000	10002	0,22
10000	10003	0,22
10000	9992	0,22
10000	10015	0,22
10000	10000	0,22
10000	9996	0,22
10000	10003	0,22
10000	9994	0,22
10000	10003	0,22
10000	9984	0,22
10000	10001	0,22
10000	10004	0,22
10000	9995	0,22
10000	9997	0,22
10000	10000	0,22
10000	10001	0,22
10000	10004	0,22
10000	10002	0,22
10000	10001	0,22
10000	9999	0,22
10000	10003	0,22
10000	10001	0,22
10000	10000	0,22
10000	10004	0,22
10000	9990	0,22
10000	9997	0,22
10000	10004	0,22
10000	9994	0,22
10000	9997,6	0,22
10000	10009	0,22
10000	9995	0,22
10000	10000	0,22
10000	9995	0,22
10000	10001	0,22
10000	9992	0,22
10000	9999	0,22
10000	10003	0,22
10000	10013	0,22
10000	10001	0,22
10000	10002	0,22
10000	10001	0,22
10000	9998	0,22
10000	10013	0,22
10000	10002	0,22
10000	10002	0,22
10000	10000	0,22
10000	10005	0,22
10000	10003	0,22
10000	10000	0,22
10000	10007	0,22
10000	10004	0,22
10000	9998	0,22
10000	9999	0,22
10000	10003	0,22
10000	10002	0,22
10000	10002	0,22
10000	10007	0,22
10000	10002	0,22
10000	10000	0,22
10000	9998	0,22
10000	10011	0,22
10000	9978	0,22
10000	10002	0,22
10000	10003	0,22
10000	10011	0,22
10000	10003	0,22
10000	9998	0,22
10000	10003	0,22
10000	9998	0,22
10000	10014	0,22
10000	10002	0,22
10000	10010	0,22
10000	9977	0,22
10000	10002	0,22
10000	9997	0,22
10000	10000	0,22
10000	10004	0,22
10000	10003	0,22
10000	9994	0,22
10000	10003	0,22
10000	9995	0,22
10000	9998	0,22
10000	9995	0,22
10000	9995	0,22
10000	10001	0,22
10000	10000	0,22
10000	10006	0,22
10000	9985	0,22
10000	10003	0,22
10000	9979	0,22
10000	10002	0,22
10000	10010	0,22
10000	9995	0,22
10000	10009	0,22
10000	10002	0,22
10000	9999	0,22
10000	9988	0,22
10000	10005	0,22
10000	10004	0,22
10000	10003	0,22
10000	9995	0,22
10000	9984	0,22
10000	10001	0,22
10000	9995	0,22
10000	9996	0,22
10000	9999	0,22
10000	10001	0,22
10000	9995	0,22
10000	9997	0,22
10000	9996	0,22
10000	10005	0,22
10000	10001	0,22
10000	10001	0,22
10000	9994	0,22
10000	10000	0,22
10000	9992	0,22
10000	10010	0,22
10000	9982	0,22
10000	10001	0,22
10000	9993	0,22
10000	9987	0,22
10000	9996	0,22
10000	9999	0,22
10000	10007	0,22
10000	10001	0,22
10000	9998	0,22
10000	9996	0,22
10000	9999	0,22
10000	10003	0,22
10000	9996	0,22
10000	9998	0,22
10000	9999	0,22
10000	10001	0,22
10000	9996	0,22
10000	9996	0,22
10000	9998	0,22
10000	9995	0,22
10000	9998	0,22
10000	9979	0,22
10000	9995	0,22
10000	9999	0,22
10000	9996	0,22
10000	10001	0,22
10000	10002	0,22
10000	10001	0,22
10000	9997	0,22
