ref	wgt	uk2
5000	5003,10	0,22
5000	4999,07	0,26
5000	5001,10	0,22
5000	5000,67	0,23
5000	5000,60	0,22
5000	4998,63	0,23
5000	5003,40	0,22
5000	4998,73	0,23
5000	4995,33	0,26
5000	5003,57	0,23
5000	5001,40	0,22
5000	5000,30	0,25
5000	5001,10	0,22
5000	5001,90	0,22
5000	5011,73	0,28
5000	4995,60	0,22
5000	4998,63	0,36
5000	4998,07	0,23
5000	4999,73	0,23
5000	5011,03	0,23
5000	5002,50	0,22
5000	4995,80	0,22
5000	4999,00	0,22
5000	5002,60	0,22
5000	5003,97	0,23
5000	4998,83	0,23
5000	5003,10	0,22
5000	4996,63	0,23
5000	5002,40	0,22
5000	4998,50	0,22
5000	5013,37	0,23
5000	5011,13	0,23
5000	5005,80	0,22
5000	4996,33	0,23
5000	5001,50	0,22
5000	5002,87	0,23
5000	4993,13	0,26
5000	5003,80	0,22
5000	5013,77	0,23
5000	4998,67	0,28
5000	5000,17	0,28
5000	5002,07	0,23
5000	5001,30	0,22
5000	5002,60	0,22
5000	5000,23	0,23
5000	5003,00	0,22
5000	4994,27	0,23
5000	5003,03	0,23
5000	4996,13	0,23
5000	5003,80	0,22
5000	5003,30	0,22
5000	5015,80	0,22
5000	5018,30	0,25
5000	5002,10	0,22
5000	4998,80	0,22
5000	5007,80	0,30
5000	4996,30	0,22
5000	5001,20	0,22
5000	5007,67	0,23
5000	5005,43	0,23
5000	5003,37	0,26
5000	5001,43	0,28
5000	5003,07	0,23
5000	5004,53	0,23
5000	5003,50	0,25
5000	5000,80	0,25
5000	4999,97	0,23
5000	5007,00	0,22
5000	5001,77	0,23
5000	5007,80	0,22
5000	4998,20	0,25
5000	5000,23	0,23
5000	5010,73	0,23
5000	5009,80	0,32
5000	4999,90	0,22
5000	5001,50	0,22
5000	5001,03	0,23
5000	4997,50	0,22
5000	4998,43	0,23
5000	5007,50	0,25
5000	4999,50	0,22
5000	4996,33	0,23
5000	5001,63	0,23
5000	5000,40	0,22
5000	5003,10	0,22
5000	5004,00	0,22
5000	5007,27	0,26
5000	5001,03	0,23
5000	5006,60	0,25
5000	5005,13	0,23
5000	5001,47	0,23
5000	5005,00	0,22
5000	4996,97	0,23
5000	5001,20	0,22
5000	5008,87	0,23
5000	5001,50	0,22
5000	5003,13	0,23
5000	5005,30	0,22
5000	4998,37	0,26
5000	5003,97	0,23
5000	5001,00	0,22
5000	5017,07	0,23
5000	4995,70	0,22
5000	5003,07	0,23
5000	4994,63	0,23
5000	5004,80	0,22
5000	5002,43	0,23
5000	5015,47	0,23
5000	5003,30	0,22
5000	4996,63	0,23
5000	5000,67	0,23
5000	5000,87	0,23
5000	5001,23	0,23
5000	5003,20	0,22
5000	5000,40	0,25
5000	5004,67	0,23
5000	5004,13	0,23
5000	5002,70	0,22
5000	5004,13	0,23
5000	5003,87	0,23
5000	4999,10	0,22
5000	5000,10	0,22
5000	5000,17	0,23
5000	4998,67	0,23
5000	4995,57	0,23
5000	5004,40	0,22
5000	5003,77	0,26
5000	5003,50	0,22
5000	5006,43	0,28
5000	5002,00	0,25
5000	4998,63	0,23
5000	5003,63	0,28
5000	5001,97	0,23
5000	4998,70	0,22
5000	5000,33	0,23
5000	5002,93	0,23
5000	4997,90	0,22
5000	4995,77	0,23
5000	4996,60	0,22
5000	4997,67	0,23
5000	5001,10	0,25
5000	5005,77	0,28
5000	5004,23	0,23
5000	5006,20	0,22
5000	5020,27	0,23
5000	5000,10	0,22
5000	5003,80	0,22
5000	5002,63	0,23
5000	4997,40	0,22
5000	5003,87	0,33
5000	4997,73	0,23
5000	4995,90	0,22
5000	5002,07	0,33
5000	5002,37	0,26
5000	5002,43	0,35
5000	5003,17	0,33
5000	5002,60	0,25
5000	5007,20	0,25
5000	5003,10	0,22
5000	5003,63	0,23
5000	5006,40	0,22
5000	5007,80	0,25
5000	5015,20	0,22
5000	4996,50	0,22
5000	5006,80	0,32
5000	5006,70	0,22
