ref	wgt	uk2
5000,00	5007,00	0,05
5000,00	5000,20	0,05
5000,00	4998,80	0,05
5000,00	5000,70	0,05
5000,00	5009,20	0,05
5000,00	5008,50	0,05
5000,00	5001,30	0,05
5000,00	5001,10	0,05
5000,00	5002,20	0,05
5000,00	5000,00	0,05
5000,00	5010,10	0,05
5000,00	5000,00	0,05
5000,00	5006,10	0,05
5000,00	5009,10	0,05
5000,00	4999,30	0,05
5000,00	5008,90	0,05
5000,00	5009,60	0,05
5000,00	5000,70	0,05
5000,00	5006,00	0,05
5000,00	5003,70	0,05
5000,00	5003,30	0,05
5000,00	4999,47	0,08
5000,00	5000,40	0,05
5000,00	5000,57	0,08
5000,00	5006,00	0,05
5000,00	5004,20	0,05
5000,00	5005,77	0,08
5000,00	4999,30	0,05
5000,00	5001,00	0,05
5000,00	4999,20	0,05
5000,00	4999,60	0,05
5000,00	5002,50	0,05
5000,00	4997,50	0,05
5000,00	4999,07	0,08
5000,00	5001,00	0,05
5000,00	5001,00	0,05
5000,00	5006,80	0,05
5000,00	5004,90	0,05
5000,00	5005,70	0,05
5000,00	5001,00	0,05
5000,00	5003,80	0,05
5000,00	5005,90	0,05
5000,00	5006,53	0,08
5000,00	5004,20	0,05
5000,00	5001,60	0,05
5000,00	5007,10	0,05
5000,00	5003,00	0,05
5000,00	5004,80	0,05
5000,00	5003,80	0,05
5000,00	5000,60	0,05
5000,00	4999,60	0,05
5000,00	4998,20	0,05
5000,00	5000,40	0,05
5000,00	5001,00	0,05
5000,00	4999,50	0,05
5000,00	5005,10	0,05
5000,00	5004,10	0,05
5000,00	5003,10	0,05
5000,00	5005,50	0,05
5000,00	5008,70	0,05
5000,00	5005,80	0,05
5000,00	5006,10	0,05
5000,00	5009,00	0,05
5000,00	5004,80	0,05
5000,00	5001,40	0,05
5000,00	5004,41	0,05
5000,00	5005,20	0,05
5000,00	5003,50	0,05
5000,00	5006,70	0,05
5000,00	5004,40	0,05
5000,00	5003,70	0,05
5000,00	5004,57	0,08
5000,00	5008,67	0,08
5000,00	5003,30	0,05
5000,00	5005,20	0,05
5000,00	5004,10	0,05
5000,00	5005,80	0,05
5000,00	4999,90	0,05
5000,00	5002,20	0,05
5000,00	5002,20	0,05
5000,00	5007,60	0,05
5000,00	5000,40	0,05
5000,00	5007,50	0,05
5000,00	5001,70	0,05
5000,00	5004,80	0,05
5000,00	5003,90	0,05
5000,00	5004,00	0,05
5000,00	5000,10	0,05
5000,00	5004,00	0,05
5000,00	5008,20	0,05
5000,00	5000,40	0,05
5000,00	5001,20	0,05
5000,00	5004,40	0,05
5000,00	5003,00	0,05
5000,00	4999,90	0,05
5000,00	5001,60	0,05
5000,00	4999,80	0,05
5000,00	5004,00	0,05
5000,00	5002,30	0,05
5000,00	5000,70	0,05
5000,00	5003,83	0,08
5000,00	5001,30	0,05
5000,00	5003,80	0,05
5000,00	5003,90	0,05
5000,00	5006,50	0,05
5000,00	5003,20	0,05
5000,00	5001,50	0,05
5000,00	5007,20	0,05
5000,00	5004,40	0,05
5000,00	5002,30	0,05
5000,00	5004,70	0,05
5000,00	5005,80	0,05
5000,00	5005,40	0,05
5000,00	5009,10	0,05
5000,00	5000,40	0,05
5000,00	5003,50	0,05
5000,00	5000,53	0,08
5000,00	5004,80	0,05
5000,00	5009,20	0,05
5000,00	4999,90	0,05
5000,00	5006,50	0,05
5000,00	5001,40	0,05
5000,00	5005,30	0,05
5000,00	5001,53	0,08
5000,00	5000,60	0,05
5000,00	5001,80	0,05
5000,00	5004,30	0,05
5000,00	5001,40	0,05
5000,00	5009,20	0,05
5000,00	5001,60	0,05
5000,00	5000,40	0,05
5000,00	5002,50	0,05
5000,00	5003,60	0,05
5000,00	5000,80	0,05
5000,00	5002,70	0,05
5000,00	5004,50	0,05
5000,00	5002,20	0,05
5000,00	5004,40	0,05
5000,00	4998,30	0,05
5000,00	5007,90	0,05
5000,00	4996,80	0,05
5000,00	5008,27	0,08
5000,00	4999,90	0,05
5000,00	5008,70	0,05
5000,00	5004,83	0,08
5000,00	5000,60	0,05
5000,00	5008,60	0,05
5000,00	5006,20	0,05
5000,00	5002,60	0,05
5000,00	5001,30	0,05
5000,00	5001,70	0,05
5000,00	5001,40	0,05
5000,00	5004,70	0,05
5000,00	5001,40	0,05
5000,00	5002,27	0,08
5000,00	4994,70	0,05
5000,00	5003,80	0,05
5000,00	5001,00	0,05
5000,00	5001,60	0,05
5000,00	5004,90	0,05
5000,00	4999,10	0,05
5000,00	4999,60	0,05
5000,00	5004,40	0,05
5000,00	5001,30	0,05
5000,00	5000,50	0,05
5000,00	4999,20	0,05
5000,00	5000,53	0,08
5000,00	5002,17	3,33
5000,00	5007,00	0,05
5000,00	5006,10	0,05
5000,00	5005,23	0,08
5000,00	5000,90	0,05
5000,00	5003,10	0,05
5000,00	5001,20	0,05
5000,00	5003,60	0,05
5000,00	5008,10	0,05
5000,00	5000,50	0,05
5000,00	5004,30	0,05
5000,00	5005,00	0,05
5000,00	5000,10	0,05
5000,00	5000,50	0,05
5000,00	5009,20	0,05
5000,00	5005,70	0,05
5000,00	5006,40	0,05
5000,00	5000,70	0,05
5000,00	5001,40	0,05
5000,00	5001,10	0,05
5000,00	5002,10	0,05
5000,00	5006,70	0,05
5000,00	4999,20	0,05
5000,00	5002,30	0,05
5000,00	5002,90	0,05
5000,00	5001,90	0,05
5000,00	5005,20	0,05
5000,00	5000,90	0,05
5000,00	5008,00	0,05
5000,00	5002,70	0,05
5000,00	5005,10	0,05
5000,00	5000,40	0,05
5000,00	5001,00	0,05
5000,00	5001,90	0,05
5000,00	5005,10	0,05
